"base_id";"activity";"client";"contract";"type_of_service";"status";"order_num";"first_point";"second_point";"speed";"vlan_id";"switchboard_first_point";"switch_port_first_point";"port_settings_first_point";"switchboard_second_point";"switch_port_second_point";"port_settings_second_point";"subnets";"router";"interface";"auto_network";"end_client";"last_mile";"id_servicepipe";"comment";"responsible_department"
3219;"53099";"АО ""СТС""";"ДОГОВОР № ТБ-УС-122/25";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 001";"г. Москва, Варшавское шоссе, д.125, корп. 16";"";"4 Гбит/с";"3236";"X97-VARSH125S16";"Eth-Trunk3";"port link-type access port default vlan 3236 traffic-policy ETH3 inbound traffic-policy ETH3 outbound mode lacp";"";"";"";"89.20.62.182/31";"R1-TB-M9";"ae0.3236";"AS207692";"";"";"";"";"СПД"
3218;"53299";"ПКО ""МЕЖГОСУДАРСТВЕННЫЙ БАНК""";"Договор № ТБ-УС-118/22";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 007";"г. Москва, ул. Чермянская, д 4, стр.1, машинный зал 30H2, ряд A, стойко-места 30H2A080-30H2A130";"";"500 Mb";"2951";"X61-CHERMYANKA(XGigabitEthernet1/0/23; XGigabitEthernet0/0/23)";"Eth-Trunk8";"description BGP_MGB_DEAL53299 port link-type access port default vlan 2951 mode lacp";"";"";"";"193.32.190.128/27; 10.77.0.56/29";"R1-TB-M9";"ae0.2951";"AS50430";"";"";"";"";"СПД"
3216;"54165 // 54911 ";"АО ""ЦХД""";"Договор №ТБ-УС-059/25";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 006";"г. Москва, Чермянский проезд, д. 5А с. 1";"";"COMMIT 1 Гбит/с -> BURST 1.5 Гбит/с";"1171;1697;2299;2382";"X77-CHERMYANSKIY5A1";"XGE0/0/13;XGE1/0/13";"description BGP_CHD_DEAL54165  port link-type trunk  port trunk allow-pass vlan 1171 1697;description BGP_CHD_DEAL54165  port link-type trunk  port trunk allow-pass vlan 2299 2382";"";"";"";"M9 - 10.77.0.36/30, 10.77.0.40/30; Bor - 10.77.0.44/30, 10.77.0.48/30";"R1-TB-M9;R1-TB-BOROVAYA";"M9 - ae0.1171, ae0.1697, Bor - ae0.2299, ae0.2382";"AS43740";"";"";"";"Отдаем с 2х портов не в LAG, по 2 Vlan в каждом. Итого 4 Vlan для 4 сессий BGP, 2 сессии на М9 и 2 сессии на Боровой. Клиент на защите cirex-msk-transit-30025-net";"СПД"
3215;"53831";"ООО ""ПМБК""";"Дог. № ТБ-УС/14-16";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 028";"г. Москва, Алтуфьевское ш 33Г";"";"50 Мбит/с";"1136";"HSW5700-1-ALTUFIEVSKOE33G";"GE0/0/7";"";"";"";"";"185.79.237.224/30";"R1-TB-M9";"ae0.1136";"";"";"";"";"";"СПД"
3214;"50969";"КОРПОРАТИВНЫЙ ЦЕНТР ИКС 5 ПАО";"Дог. №ТБ-УС/09-13";"Предоставление канала связи";"Эксплуатация";"БЗ 013";"г. Санкт-Петербург, ул. Цветочная, д.19";"г. Москва, ул. Авиамоторная, д. 69";"20 Гбит/c";"";"Нашего присутствия тут нет";"";"";"Нашего присутствия тут нет";"";"";"";"";"";"";"";"НЭКСТРЕМУМ";"";"По данному каналу - аренда у НЭКСТРЭМУМ  20 Гбит/с/г. Санкт-Петербург, ул. Цветочная, д.19 - г. Москва, ул. Авиамоторная, д. 69 (В нашу сеть не заходит)  Некстремум - 511-L2VPN.21-RU.MSK.DPA-RU.SPB.SLT. Заказ и дог с нэкстремум заказ 43 дог 60-2021";"СПД"
3212;"53941 , 59496 расширение 1Г";"""ЕСП""";"Договор № ТБ-УС-128/25";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 003";"г. Москва, ул. Подольских Курсантов, 15Б, стр. 1";"";"1 Гбит/с";"2751";"X44-1-PODKURSANTOV15B";"XGigabitEthernet 1/0/20";"interface XGigabitEthernet1/0/20 description DIA_ESP_DEAL53941 port link-type access port default vlan 2751 storm-control broadcast min-rate 80 max-rate 100 storm-control interval 15 storm-control action error-down storm-control enable trap storm-control enable log";"";"";"";"185.79.237.120/30";"R1-TB-M9";"ae0.2751";"";"";"";"";"";"СПД"
3211;"52989";"ООО ""О2 КЛАУД""";"";"Предоставление канала связи";"Эксплуатация";"";"г. Москва, Волгоградский пр-кт, д. 42, к.9";"г. Тверь, пр-кт Победы, д. 71";"5 Gb";"3074;3075;3076";"X42-VOLGOGRPRT42K9";"XGigabitEthernet 0/0/23";"description L2_O2-CLOUD_DEAL52989 port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 3074";"HSW5731-PRTPOBEDI71";"XGigabitEthernet0/0/2";"port link-type dot1q-tunnel  port default vlan 3074  stp disable  undo lldp enable";"";"";"";"";"";"Раском (у Раскома есть еще один ОПМ - ГорСети)";"";"Приложение 23 к Договору № TLB.1309.01/I от ""04"" июля 2016 г. (так же имеется данная информация - TLB_3635/3636ip) между АО «РАСКОМ» и ООО «Телеком-Биржа» // 3076 - управление влан";"СПД"
3210;"54218 , 55984 расширение ip до /29";"АО ""ЦХД""";"Договор №ТБ-УС-059/25";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 008";"г. Москва, Чермянский проезд, д. 5А, стр. 1";"";"1 Гбит/с";"2594";"X77-CHERMYANSKIY5A1";"XGE0/0/12";"port link-type access  port default vlan 2594  storm-control broadcast min-rate 80 max-rate 100  storm-control interval 15  storm-control action error-down  storm-control enable trap  storm-control enable log";"";"";"";"193.32.190.121/30 , 217.77.108.57/29";"R1-TB-M9";"ae0.2594";"";"";"";"";"";"СПД"
3209;"53166";"ООО ""СИМ ТЕЛЕКОМ""";"Договор № ТБ-УС-145/23";"Предоставление канала связи";"Эксплуатация";"БЗ 004";"г. Москва, Бутлерова, д. 7";"г. Москва, ул. 8 марта д. 10с2";"300Мбит/с";"3393";"X10-M9";"XGigabitEthernet 0/0/48";"interface XGigabitEthernet0/0/48 description MEGAFON-TRUNK_xconnect2030 port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 12 883 984 1043 1174 1190 1631 1706 to 1707 1721 1872 port trunk allow-pass vlan 2407 2861 2980 3393 3399 to 3400 3425 3890 ";"HSW5720-1-8MARTA10";"interface GigabitEthernet0/0/5";"interface GigabitEthernet0/0/5 description L2_SIMTELECOM_DEAL53166 port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 3393 3399 to 3400 3425";"";"";"";"";"";"";"";"";"СПД"
3208;"53463";"НАО ""КОМПАНИЯ ТРАНСТЕЛЕКОМ""";"Дог. №ТБ-УС/09-13";"L2VPN";"Эксплуатация ";"Заказ 255";"г. Москва, ул. Бутлерова, д. 7";"г. Москва, Волгоградский пр-кт, д. 42, корп. 5";"1 Гбит/с";"2161";"LEO-M9";"xe-0/2/3";"+ encapsulation vlan-ccc; + vlan-id 2161; + family ccc;";"HSW1720-1-VOLGOGRPRT42K5";"GE0/0/10";"port link-type access  port default vlan 2161";"";"";"";"";"";"";"";"";"СПД"
3207;"53512";"АЙСИБИСИ БАНК АО";"Договор №ТБ-УС-51/23";"Предоставление канала связи";"Эксплуатация";"БЗ 002";"г.Москва, Серебряническая наб.,д.29 (БЦ «Силвер Сити»)";"г.Москва, ул. Жукова, д. 43";"10 Мбит/с";"3620";"X32-M9";"XGigabitEthernet 0/0/30";"interface XGigabitEthernet0/0/30 description O1_TRUNK port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 1309 1472 2626 2705 3060 to 3061 3063 3067 3072 3620 3819";"X10-M9";"XGigabitEthernet0/0/27";" description RASCOM_TRUNK  port link-type trunk  undo port trunk allow-pass vlan 1  port trunk allow-pass vlan 696 1301 2471 2564 2700 3054 3074 to 3075 3215 3620  storm-control broadcast min-rate 80 max-rate 100  storm-control interval 15  storm-control action error-down  storm-control enable trap  storm-control enable log";"";"";"";"";"";"";"";"";"СПД"
3206;"54173";"ООО ""ДАТАЛАЙН""";"Договор № ТБ-УС-119/19";"L2VPN";"Эксплуатация";"БЗ 74";"г. Москва, Коровинское ш., д.41";"г. Москва, ул. Бутлерова, д. 7";"10 Гбит/c";"2034";"X62-KOROVA";"XGE0/0/41";"port link-type access  port default vlan 2034  undo lldp enable";"ISP-SW1-M9";"Eth-Trunk5";"port trunk allow-pass vlan 2034";"М9 с нашей стороны 10.83.0.17/30, с их 10.83.0.18/30 Боровая с нашей стороны 10.82.0.221/30, с их 10.82.0.222/30";"";"";"";"";"";"dataline-msk-transit-39010";"ЗО ТБ - L2VPN до стыка SP ";"СПД"
3205;"53895";"ООО ИС ЛАБ";"";"Предоставление доступа в интернет";"Эксплуатация";"";"г.Москва, ул.Бутлерова 7";"";"100 Мбит/с";"2208;2209";"HSW5731-2-M9";"Eth-Trunk2";"port link-type trunk  undo port trunk allow-pass vlan 1  port trunk allow-pass vlan 2208 to 2209  mode lacp";"";"";"";"10.77.0.28/30; 10.77.0.32/30";"R1-TB-M9; R1-TB-BOROVAYA";"ae0.2208; ae0.2209";"AS215944";"";"";"";"2 BGP сессии, в 2-х VL";"СПД"
3203;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R1-TB-M9";"ae0.2727";"";"";"";"";"Коммутатор стоит в здании на Петровка, на 2 этаже в кабинете СовКома. ";"С"
3202;"45324 - включение, 54208 - расформирование";"ПАО ""РОСТЕЛЕКОМ""";"";"Предоставление канала связи";"Отключен";"";"г.Москва, ул.Бутлерова, д7";"г.Москва, ул. Мясницкая, д. 35";"10Мб/с";"1898";"X10-M9";"X0/0/26";"Стык с Ростелеком ";"Должен быть H2SW-1-MYASNITSKAYA35, но по факту его нет";"";"";"";"";"";"";"";"";"";"Услуга не работоспособна, т.к коммутатора на Мясницкой нет. Актуал на 12.09.2025";"СПД"
3201;"53899";"Вайлдберриз Банк ООО";"ДОГОВОР № ТБ-УС-367/24";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 007";"г. Москва, ш. Алтуфьевское, д. 33";"";"20 Мбит/с";"2491";"HSW5700-1-ALTUFIEVSKOE33G";"GigabitEthernet0/0/6";" description DIA_WB-BANK_DEAL53899  port link-type access  port default vlan 2491";"";"";"";"91.194.213.209/29";"R1-TB-M9";"ae0.2491";"";"";"";"";"";"СПД"
3200;"53618";"ООО ЗТК";"Договор № ТБ-УС-137/25";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 001";"г. Москва, Чермянский проезд, д. 5А с. 1";"";"2 Гбит/с";"1292;1811;1689;2403";"X77-CHERMYANSKIY5A1";"XGigabitEthernet0/0/11";"description BGP_ZTK_DEAL53618  port link-type trunk  port trunk allow-pass vlan 1292 1689 1811 2403";"";"";"";"Vlan 1811 - 10.77.0.12/30, Vlan 2403 - 10.77.0.16/30, Vlan 1292 - 10.77.0.20/30, Vlan 1689 - 10.77.0.24/30";"R1-TB-M9, R1-TB-BOROVAYA";"M9 - ae0.1811, ae0.2403, Bor - ae0.1292, ae0.1689";"AS43740";"";"";"";"4 BGP cсессии в разных вланах , 2 до М9 и 2 до Боровой. Полисер ограничения на X77 до 2G в каждом Vlan. ";"СПД"
3199;"53877";"ООО ""ОЗОН БАНК""";"-";"Предоставление доступа в интернет";"Эксплуатация";"-";"г. Москва, Коровинское шоссе, 41с8";"";"100 Мбит/с";"3811";"H2SW-1-KOROVA41A-3H1D110";"Ethernet0/0/2";"interface Ethernet0/0/2 description DIA_OZONBANK_DEAL53877 port link-type access port default vlan 3811 stp bpdu-filter enable stp edged-port enable storm-control broadcast min-rate 80 max-rate 100 storm-control interval 15 storm-control action error-down storm-control enable trap storm-control enable log";"";"";"";"86.110.216.24/29";"R1-TB-M9";"ae0.3811";"";"";"";"";"";"СПД"
3198;"46639";"ТРАСТИНФО ООО";"ТБ-ПС-315/24 ";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 001";"г. Москва, Варшавское ш. д. 125 с. 16";"";"100 Mb";"1196";"HP5800-1-VARSH125S16";"Ten-GigabitEthernet2/0/27";"port access vlan 1196  storm-constrain broadcast pps 100 80  storm-constrain control block";"";"";"";"193.32.190.112/30";"R1-TB-M9";"ae0.1196";"AS48757";"";"";"";"";"СПД"
3197;"53602";"НАО ""КОМПАНИЯ ТРАНСТЕЛЕКОМ""";"Дог. №ТБ-УС/09-13";"Предоставление доступа в интернет";"Эксплуатация";"Заказ 254";"г. Москва, Волгоградский проспект, д. 42 к. 9 ";"г. Москва, ул. Бутлерова, д. 7";"100 Мбит/с";"1397";"X42-VOLGOGRPRT42K9";"XGigabitEthernet  0/0/2";"interface XGigabitEthernet0/0/2 description Obit_deal_35555 port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 1397 1788 to 1789 traffic-policy XGE0/0/2 inbound traffic-policy XGE0/0/2 outbound";"Leo-m9";"xe-0/2/3";"+    unit 1397 { +        description L2_TTK_DEAL53602; +        encapsulation vlan-ccc; +        vlan-id 1397; +        family ccc;";"";"";"";"";"";"";"";"";"СПД"
3196;"53531";"ПАО ""РОСТЕЛЕКОМ""";"";"Предоставление канала связи";"Эксплуатация";"";"ул. 2-я Энтузиастов, д. 5, корп. 6";"ул. Бутлерова, д. 7";"100 Мбит/с";"3053";"HSW1720-1-KOMPRESSOR-AO25";"GigabitEthernet0/0/6";"interface GigabitEthernet0/0/6 description L2_RTK_DEAL53531 port link-type access port default vlan 3053";"X10-M9";"XGigabitEthernet 0/0/26";"interface XGigabitEthernet0/0/26 description TRUNK_RTL_2884_""M7-ASW4_xe-8/0/1"" port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 2705 2810 to 2812 2823 2836 2840 to 2842 2846 2851 2949 3053 3104 to 3105";"";"";"";"";"";"";"";"";"СПД"
3195;"53623";"МикФинанс Плюс ООО";"ТБ-УС-337-24";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 002";"г. Москва, ул. Рябиновая, 53, стр.3.";"";"10 Мбит/с";"3131";"X70-RYABINOVAYA53";"XGE0/0/11";"interface XGigabitEthernet0/0/11 description DIA_MINFAX_DEAL53623 port link-type access port default vlan 3131 storm-control broadcast min-rate 80 max-rate 100 storm-control interval 15 storm-control action error-down storm-control enable trap storm-control enable log";"";"";"";"193.32.190.100/30";"R1-TB-M9";"ae0.3131";"";"";"";"";"";"СПД"
3194;"53269";"ООО Альфамобиль";"ДОГОВОР № ТБ-УС-355/24";"Предоставление канала связи";"Эксплуатация";"БЗ 003";"Шарикоподшипниковская ул., 11, стр. 9, помещение 304, стойка Е10  ( ЦОД DataSpace)";"Rebstöckerstraße 25-31, 60326, Frankfurt am Main, Deutschland.";"100 M";"2852";"HSW5320-1-SHARIK";"GigabitEthernet0/0/26";"description L2_ALFAMOBIL_DEAL53269 port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 2852";"X35-M9";"XGigabitEthernet2/0/2";"description NEXTREMUM_TRUNK port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 2852";"";"";"";"";"";"NEXTREMUM 511-L2VPN.26-RU.MSK.M9-DE.FRA.NTE";"";"";"СПД"
3193;"53123";"ООО ""СЕРВИСПАЙП""";"Договор № ТБ-УС-119/19";"Предоставление канала связи";"Эксплуатация";"БЗ 070";"Москва, , Варшавское шоссе, 125с16, ЦОД ""Трастинфо"", машинный зал 1, стойка 29";"Москва, Бутлерова 7, 7 этаж, помещение 704, 6 ряд, 2 место";"250 Мбит/с";"1391";"HP5800-1-VARSH125S16";"Bridge-Aggregation3";"description L2_SP_DEAL53123 port access vlan 1391 link-aggregation mode dynamic service-instance 1391  encapsulation untagged  xconnect peer 10.110.255.71 pw-id 1391 mtu 1600 access-mode ethernet";"ISP-SW1-M9";"Eth-Trunk5";"description CSW3-SP-M9";"";"";"";"";"";"";"";"";"СПД"
3191;"53330";"ООО ""РЕГ.РУ""";"ТБ-УС-129/25";"Предоставление доступа в интернет";"Эксплуатация";"-";"г. Москва, Чермянская ул., 4, стр. 1";"";"5 Гбит/с";"1414;1616";"X77-CHERMYANSKIY5A1";" Eth-Trunk 4";"interface Eth-Trunk4 description BGP_REG_DEAL53330 port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 1414 1616";"";"";"";"10.77.0.0/31 10.77.0.2/31";"R1-TB-M9 R1-TB-BOROVAYA";"ae0.1414 ae0.1616";"";"";"";"";"2 BGP сессии в двух vlan";"СПД"
3189;"53200 включение";"АНО ""НАЦИОНАЛЬНЫЕ ПРИОРИТЕТЫ""";"";"Предоставление доступа в интернет";"Отключен";"";"г. Москва, Коровинское ш., 41 ";"";"50 Мбит/с";"1129";"X20-KOROVA-NORD4";"GigabitEthernet 1/0/3";"nterface GigabitEthernet1/0/3 port link-mode bridge description DIA_NATIONAL_DEAL53200 port access vlan 1129 storm-constrain broadcast pps 100 80 storm-constrain control block service-instance 1129  encapsulation s-vid 1129  xconnect peer 10.110.255.71 pw-id 1129 mtu 1600";"";"";"";"185.79.117.172/30";"R1-TB-M9";"ae0.1129";"";"";"";"";"Не пошло в реализацию";"СПД"
3188;"53198 Включение";"АНО ""НАЦИОНАЛЬНЫЕ ПРИОРИТЕТЫ""";"";"Предоставление доступа в интернет";"Отключен";"";"Москва, Коровинское ш., 41";"";"100 Мбит/с";"1131";"X20-KOROVA-NORD4";"GigabitEthernet1/0/22";"interface GigabitEthernet1/0/22 port link-mode bridge description DIA_NATIONAL_DEAL53198 port access vlan 1131 storm-constrain broadcast pps 100 80 storm-constrain control block service-instance 1131  encapsulation s-vid 1131  xconnect peer 10.110.255.71 pw-id 1131 mtu 1600";"";"";"";"185.79.117.168/30";"R1-TB-M9";"ae0.1131";"";"";"";"";"Не пошло в реализацию";"СПД"
3187;"53298";"ООО Передовые Платежные Решения";"ДОГОВОР № ТБ-УС-329 / 24";"Предоставление доступа в интернет";"Эксплутация";"БЗ 003";"г. Москва, Ленинградский пр-т, д. 72, к. 2";"";"200 Мбит/с";"1602";"HSW-1-LENINGRADSKIY-PR-72K2";"GE0/0/3 ";"interface GigabitEthernet0/0/3  description DIA_PPR_DEAL53298  port link-type access  port default vlan 1602  storm-control broadcast min-rate 80 max-rate 100  storm-control interval 15  storm-control action block  storm-control enable trap  storm-control enable log";"";"";"";"77.238.101.128/30";"R1-TB-M9";"ae0.1602";"";"";"";"";"";"СПД"
3186;"51881 // 53201";"ИТСОФТ ООО";"";"Предоставление доступа в интернет";"Эксплуатация";"";"г. Москва, ул. Чермянская, д. 4, стр. 1";"";"2 Gb";"1464";"X61-CHERMYANKA";"eth-trunk 11(XGigabitEthernet 1/0/13;XGigabitEthernet 0/0/13";"description BGP_ITSOFT_DEAL51881_53201 port link-type access port default vlan 1464 mode lacp";"";"";"";"10.77.0.4/30; 10.77.0.8/30";"R1-TB-BOROVAYA;R1-TB-M9";"ae0.1464";"AS213506";"";"";"";"";"СПД"
3185;"52874 , 54804 перенос";"ООО ""ОБИТ""";"Дог. №ТБ-УС/54-15";"Предоставление канала связи";"Эксплуатация";"БЗ 006";"Москва, Гашека ул., д. 6, БЦ Ducat Place, офис 1210";"г. Москва, ул. Бутлерова, 7";"50 Mb";"1309";"X32-M9";"XGigabitEthernet0/0/30";"description O1_TRUNK port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 1309";"X64-PODKURSANTOV15B";"XGigabitEthernet0/0/1";"description L2_OBIT_DEAL54804_TRUNK_CUSTOMER  port link-type trunk  undo port trunk allow-pass vlan 1  port trunk allow-pass vlan 1309";"";"";"";"";"";"До ул.Гашека ОПМ берем канала у О1 (идентификаторов на момент настройки нет)";"";"";"СПД"
3184;"52395";"НАО ""КОМПАНИЯ ТРАНСТЕЛЕКОМ""";"Дог. №ТБ-УС/09-13";"Предоставление канала связи";"Эксплуатация";"Заказ 246";"г. Москва, ш. Коровинское, д. 37";"г. Москва, ул. Бутлерова, д. 7";"20 Мбит/с";"2977";"X62-KOROVA";"XGE0/0/39";"port link-type access  port default vlan 2977";"Leo-m9";"interfaces xe-0/2/3";"+ encapsulation vlan-ccc; + vlan-id 2977; + family ccc;";"";"";"";"";"";"";"";"";"СПД"
3183;"53041";"ООО ""СБКЛАУД""";"Договор № ТБ-УС/36-18";"Предоставление канала связи";"Эксплуатация";"БЗ 31";"г. Москва, Варшавское шоссе, д. 125 стр.16";"г. Москва, ул. Подольских курсантов, д. 15Б";"1 Гбит/с";"1812";"X97-VARSH125S16";"ETH4 (XGE0/0/9; XGE1/0/9)";"port link-type trunk  undo port trunk allow-pass vlan 1  port trunk allow-pass vlan 1812 to 1813  mode lacp";"X44-1-PODKURSANTOV15B";"Eth-Trunk12";"description TRUNK_CLOUDSTACK port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 1812  mode lacp";"";"";"";"";"";"";"";"";"СПД"
3182;"52876";"АО К2 Интеграция";"";"Фильтрация трафика для ИТ-инфраструктуры (IP-транзит/DDoS)";"Эксплуатация";"";"г. Москва, 2-я ул. Энтузиастов, 5, стр.6";"";"1 Гбит/с";"1892";"X69-KOMPRESSOR";"Eth-Trunk5";"description L2_K2-to-SP_DEAL52876-infotecs-msk-transit-31754  port link-type access  port default vlan 1892  mode lacp";"X92-M9";"Eth-Trunk2";"description CSW3-SP-M9_ET7";"";"";"";"";"";"";"infotecs-msk-transit-31754";"";"СПД"
3181;"51643 // 52598 // на каждой активности разная железка в vpls // добавление точки 55081 // 56121 расформирование точки на Корове";"АО РНПК";"ДОГОВОР № ТБ-УС-100/25 ";"Предоставление канала связи";"Эксплуатация";"БЗ 002; Заказ 3";"г. Москва, ул. Гашека, д. 6";"1-ый Дорожный пр-д, д. 3, стр. 2";"1 Gb";"1347";"HSW-1-GASHEKA6";"GigabitEthernet 0/0/4; GigabitEthernet 0/0/3";"description VPLS_RNPK_DEAL51643 port link-type access port default vlan 1347";" X95-M9 // X61-CHERMYANKA";"XGigabitEthernet0/0/22 // Eth-Trunk12";"description VPLS_RNPK_DEAL51642  port link-type access  port default vlan 1347 // description VPLS_RNPK_DEAL55081  port link-type access  port default vlan 1347";"";"";"";"";"";"";"";"тут VSI между 4 точками";"СПД"
3180;"52949";"ООО ""ЭДНА""";"Дог. №ТБ-УС/82-16";"Предоставление канала связи";"Эксплуатация";"БЗ 004";"г.Москва, ул.Бутлерова, 7";"г. Москва, ул. Шарикоподшипниковская, д. 11, стр. 9";"100 Мбит/с";"1921";"X35-M9";"XGE2/0/2";"port link-type trunk  undo port trunk allow-pass vlan 1 port trunk allow-pass vlan  1921 traffic-policy XGE2/0/2 inbound  traffic-policy XGE2/0/2 outbound ";"X18-SHARIK";"Eth-Trunk5, XGE0/0/12";"port link-type trunk  undo port trunk allow-pass vlan 1  port trunk allow-pass vlan 1921 mode lacp";"";"";"";"";"";"";"";"На М9 стык с NEXTREMUMом    511-L2VPN.25-RU.MSK.M9-KZ.AL.AHT ";"СПД"
3179;"51073";"НАО ""КОМПАНИЯ ТРАНСТЕЛЕКОМ""";"Дог. №ТБ-УС/09-13";"Предоставление канала связи";"Эксплуатация";"Заказ 248";"г. Москва, ул. Бутлерова, д. 7";"г. Москва, 1-я Стекольная ул., д. 7, стр. 6";"2 Мбит/с";"2217";"X90-1STEKOLNAYA7S6";"XGigabitEthernet0/0/3";"interface XGigabitEthernet0/0/3 description L2_TTK_DEAL51073 port link-type access port default vlan 2217";"Leo-m9";"interface xe-0/2/3.221";" interface xe-0/2/3.2217 { +         virtual-circuit-id 2217; +         description L2_TTK_DEAL51073; +         mtu 1600;";"";"";"";"";"";"";"";"";"СПД"
3178;"51667";"ООО ЮНИТЕЛ ИНЖИНИРИНГ";"Договор № ТБ-УС-030/25";"Предоставление канала связи";"Эксплуатация";"БЗ 001";"г. Москва, Руставели, д.2";"г. Москва, ул. Гончарная, д.30";"100Мб/с";"4082";"HP5800-1-ALTUFIEVSKOE33G";"GE1/0/12";"С порта GE1/0/12 ОВ идет сразу в первую коробку Е1 10.110.231.165";"Коммутатора второй точки не будет, клиент будет забирать трафик со второй коробки Е1, с адресом 10.110.231.166";"";"";"";"";"";"";"";"";"";"Для клиента стоят 2 коробки Е1. У первой адрес 10.110.231.165 у второй адрес 10.110.231.166. Порт коммутатора нужен для управления, а также с него будет давать услугу по каналу связи. Клиенту нужна IP телефония, поэтому на Гончарной будет стоять АТС ";"СПД"
3177;"51753";"ООО ВК";"Дог. №ТБ-УС-061/25";"Предоставление канала связи";"Эксплуатация";"БЗ 004";"г. Москва, ул. Чермянская, д. 4с1";"г. Москва, ул. Бутлерова, д. 7";"10 Гбит/с";"2707";"X61-CHERMYANKA";"XGE0/0/21";"port link-type access  port default vlan 2707";"X95-M9";"XGE0/0/12";"port link-type access  port default vlan 2707";"";"";"";"";"";"support@vgt.ru (ВолгаГазТелеком). При обращении, указать, что канал для АвтоВАЗа";"";"На М9 канал уходит в ОПМа, в г. Тольятти, Южное Шоссе, д. 36к 170/5";"СПД"
3175;"52231";"ООО ВК";"Дог. №ТБ-УС-061/25";"Предоставление канала связи";"Эксплуатация";"БЗ 003";"г. Москва, Коровинское шоссе, д. 41";"г. Москва, ул. Бутлерова, д. 7";"10 Гбит/c";"2198";"X62-KOROVA";"XGE0/0/38";"port link-type access  port default vlan 2198";"X95-M9";"XGE0/0/9";"port link-type access  port default vlan 2198";"";"";"";"";"";"support@vgt.ru  (ВолгаГазТелеком). При обращении, указать, что канал для АвтоВАЗа";"";"На М9 канал уходит в ОПМа, в г. Тольятти, Южное Шоссе, д. 36к 170/5";"СПД"
3174;"53059 // Задача расширения - 58750";"ООО ""СОЛНЕЧНЫЙ СВЕТ""";"Договор №ТБ-УС-121/23";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 004";"г. Москва, Коровинское шоссе, 41";"";"3 Гбит/с";"1005;1007";"X25-KOROVA-NORD4";"Ten-GigabitEthernet1/0/33";"interface Ten-GigabitEthernet1/0/33 port link-mode bridge description BGP_SUNLIGHT_DEAL53059 port link-type trunk undo port trunk permit vlan 1 port trunk permit vlan 1005 1007 storm-constrain broadcast pps 100 80 storm-constrain control block service-instance 1005  encapsulation s-vid 1005 service-instance 1007  encapsulation s-vid 1007";"";"";"";"193.32.190.92/30; 193.32.190.96/30; 217.77.104.40/29";"R1-TB-M9; R1-TB-BOROVAYA";"ae0.1005; ae0.1007";"34597";"";"";"";"Статика /29 к ае0.1005";"СПД"
3172;"53093";"ООО ""ЭДНА""";"Дог. №ТБ-УС/82-16";"Предоставление канала связи";"Эксплуатация";"БЗ 005";"г.Москва, ул.Бутлерова, 7";"г. Москва, ул. Шарикоподшипниковская, д. 11, стр. 9";"100 Мбит/с";"1971";"X95-M9";"XGE0/0/10";"port link-type trunk  undo port trunk allow-pass vlan 1  port trunk allow-pass vlan 1971";" X18-SHARIK";"Eth-Trunk5, XGE0/0/10";"port link-type trunk  undo port trunk allow-pass vlan 1  port trunk allow-pass vlan 1971  mode lacp";"";"";"";"";"";"";"";"";"СПД"
3171;"53068";"ООО ""ВКУСНО""";"Договор № ТБ-УС-123-25";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 001";"г. Москва, ул. Грузинский вал, д. 7";"";"100Mb";"1049";"HSW5720-1-GRUZINSKIYVAL7";"GigabitEthernet0/0/13";"description DIA_VKUSNO_DEAL53068 port link-type access port default vlan 1049 storm-control broadcast min-rate 80 max-rate 100 storm-control interval 15 storm-control action error-down storm-control enable trap storm-control enable log";"";"";"";"193.32.190.88/30";"R1-TB-M9";"ae0.1049";"";"";"";"";"";"СПД"
